,speaker,statement,sentiment,words,lemmatization
0,HOLT," Good evening everyone, I am Lester Holt and welcome to the first democratic debate in the 2020 race for president.",0.7096,"['good', 'evening', 'everyone', 'lester', 'holt', 'welcome', 'first', 'democratic', 'debate', 'race', 'president']","['good/JJ', 'evening/NN', 'everyone/NN', 'be/VB', 'lester/JJ', 'holt/NN', 'welcome/JJ', 'first/JJ', 'democratic/JJ', 'debate/NN', 'race/NN', 'president/NN']"
1,GUTHRIE," Hi, I’m Savannah Guthrie and tonight it’s our first chance to see these candidates go head to head on stage together. We will be joined in our questioning tonight by our colleagues, Jose Diaz-Balart, Chuck Todd and Rachel Maddow.",0.1531,"['hi', 'savannah', 'guthrie', 'tonight', 'first', 'chance', 'see', 'candidates', 'go', 'head', 'head', 'stage', 'together', 'joined', 'questioning', 'tonight', 'colleagues', 'jose', 'chuck', 'todd', 'rachel', 'maddow']","['savannah/NN', 'guthrie/NN', 'tonight/NN', 'first/JJ', 'chance/NN', 'see/VB', 'candidate/NN', 'go/VB', 'head/JJ', 'head/VB', 'stage/NN', 'together/RB', 'be/VB', 'join/VB', 'questioning/NN', 'tonight/NN', 'colleague/NN', 'jose/RB', 'diaz/VB', 'balart/JJ', 'chuck/NN', 'todd/NN', 'rachel/NN', 'maddow/NN']"
2,HOLT," Voters are trying to nail down where the candidates and on the issues, what sets them apart, and which of these presidential hopefuls has what it takes",0.0,"['voters', 'trying', 'nail', 'candidates', 'issues', 'sets', 'apart', 'presidential', 'hopefuls', 'takes']","['voter/NN', 'be/VB', 'try/VB', 'nail/VB', 'candidate/NN', 'issue/NN', 'set/VB', 'apart/RB', 'presidential/JJ', 'hopeful/NN', 'have/VB', 'take/VB']"
3,GUTHRIE," Well, now it’s time to find out.",0.2732,"['well', 'time', 'find']","['well/RB', 'now/RB', 'time/NN', 'find/VB']"
4,UNKNOWN," Tonight round one. New Jersey Senator Cory Booker, Former Housing Secretary Julian Castro, New York City Mayor Bill De Blasio, Former Maryland Congressman John Delaney, Hawaii Congresswoman Tulsi Gabbard, Washington Governor Jay Inslee, Minnesota Senator Amy Klobuchar, Former Texas Congressman Beto O’Rourke, Ohio Congressman Tim Ryan and Massachusetts Senator Elizabeth Warren. From NBC News Decision 2020 the Democratic candidates debate live from the Adrienne Arsht Performing Arts Center in Miami, Florida.",0.0,"['tonight', 'round', 'one', 'new', 'jersey', 'senator', 'cory', 'booker', 'former', 'housing', 'secretary', 'julian', 'castro', 'new', 'york', 'city', 'mayor', 'bill', 'de', 'blasio', 'former', 'maryland', 'congressman', 'john', 'delaney', 'hawaii', 'congresswoman', 'tulsi', 'gabbard', 'washington', 'governor', 'jay', 'inslee', 'minnesota', 'senator', 'amy', 'klobuchar', 'former', 'texas', 'congressman', 'beto', 'rourke', 'ohio', 'congressman', 'tim', 'ryan', 'massachusetts', 'senator', 'elizabeth', 'warren', 'nbc', 'news', 'decision', 'democratic', 'candidates', 'debate', 'live', 'adrienne', 'arsht', 'performing', 'arts', 'center', 'miami', 'florida']","['tonight/NN', 'round/NN', 'new/JJ', 'jersey/NN', 'senator/NN', 'cory/NN', 'booker/NN', 'former/JJ', 'housing/NN', 'secretary/NN', 'julian/NN', 'castro/VB', 'new/NN', 'york/NN', 'city/NN', 'mayor/NN', 'bill/NN', 'blasio/JJ', 'former/JJ', 'congressman/NN', 'john/NN', 'delaney/NN', 'hawaii/NN', 'congresswoman/NN', 'tulsi/NN', 'gabbard/NN', 'washington/NN', 'governor/NN', 'jay/NN', 'inslee/NN', 'minnesota/JJ', 'senator/NN', 'amy/NN', 'klobuchar/VB', 'former/JJ', 'texas/NN', 'congressman/NN', 'beto/NN', 'rourke/NN', 'ohio/JJ', 'congressman/NN', 'tim/NN', 'ryan/NN', 'massachusetts/JJ', 'senator/NN', 'elizabeth/JJ', 'warren/NN', 'nbc/JJ', 'news/NN', 'decision/NN', 'democratic/JJ', 'candidate/NN', 'debate/NN', 'live/NN', 'adrienne/NN', 'arsht/NN', 'perform/VB', 'art/NN', 'center/NN', 'miami/NN', 'florida/NN']"
5,HOLT," Good evening again everyone. Welcome to the candidates and to our audience here in Miami here in the Arsht Center and all across the country. Tonight we are going to take on many of the most pressing issues of the moment including immigration, the situation unfolding at our border, and the treatment of migrant children.",0.7096,"['good', 'evening', 'everyone', 'welcome', 'candidates', 'audience', 'miami', 'arsht', 'center', 'across', 'country', 'tonight', 'going', 'take', 'many', 'pressing', 'issues', 'moment', 'including', 'immigration', 'situation', 'unfolding', 'border', 'treatment', 'migrant', 'children']","['good/JJ', 'evening/NN', 'again/RB', 'everyone/NN', 'welcome/VB', 'candidate/NN', 'audience/NN', 'here/RB', 'miami/NN', 'here/RB', 'arsht/JJ', 'center/NN', 'country/NN', 'tonight/NN', 'be/VB', 'go/VB', 'take/VB', 'many/JJ', 'most/JJ', 'pressing/NN', 'issue/NN', 'moment/NN', 'include/VB', 'immigration/NN', 'situation/NN', 'unfold/VB', 'border/NN', 'treatment/NN', 'migrant/JJ', 'child/NN']"
6,GUTHRIE," And we are going to talk about the tensions with Iran, climate change, and of course we will talk about the economy, those kitchen table issues so many Americans face every day.",-0.4019,"['going', 'talk', 'tensions', 'iran', 'climate', 'change', 'course', 'talk', 'economy', 'kitchen', 'table', 'issues', 'many', 'americans', 'face', 'every', 'day']","['be/VB', 'go/VB', 'talk/VB', 'tension/NN', 'iran/NN', 'climate/NN', 'change/NN', 'course/NN', 'talk/VB', 'economy/NN', 'kitchen/NN', 'table/NN', 'issue/NN', 'so/RB', 'many/JJ', 'american/NN', 'face/VB', 'day/NN']"
7,TODD, And some quick rules of the road before we begin. Twenty candidates qualified for this first debate. We will hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.,0.0,"['quick', 'rules', 'road', 'begin', 'twenty', 'candidates', 'qualified', 'first', 'debate', 'hear', 'tonight', 'tomorrow', 'breakdown', 'selected', 'random', 'candidates', 'seconds', 'answer', 'seconds']","['quick/JJ', 'rule/NN', 'road/NN', 'begin/VB', 'candidate/NN', 'qualify/VB', 'first/JJ', 'debate/NN', 'hear/VB', 'tonight/NN', 'more/JJ', 'tomorrow/NN', 'breakdown/NN', 'be/VB', 'select/VB', 'random/JJ', 'candidate/NN', 'have/VB', 'second/NN', 'answer/VB', 'second/NN', 'follow/JJ', 'up/NN']"
8,HOLT, Because of this large field not every person will be able to comment on every of topic but over the course of the next two hours we will hear from everyone. We would also like to ask the audience to keep their reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.,0.5719,"['large', 'field', 'every', 'person', 'able', 'comment', 'every', 'topic', 'course', 'next', 'two', 'hours', 'hear', 'everyone', 'would', 'also', 'like', 'ask', 'audience', 'keep', 'reactions', 'minimum', 'going', 'shy', 'making', 'sure', 'candidates', 'stick', 'time', 'tonight']","['large/JJ', 'field/NN', 'not/RB', 'person/NN', 'be/VB', 'able/JJ', 'comment/VB', 'topic/NN', 'course/NN', 'next/JJ', 'hour/NN', 'hear/VB', 'everyone/NN', 'also/RB', 'like/VB', 'ask/VB', 'audience/NN', 'keep/VB', 'reaction/NN', 'minimum/NN', 'be/VB', 'not/RB', 'go/VB', 'be/VB', 'shy/JJ', 'make/VB', 'sure/JJ', 'candidate/NN', 'stick/NN', 'time/NN', 'tonight/NN']"
9,GUTHRIE," All right. So with a business out of the we want to get to it we will start this evening with Senator Elizabeth Warren. Senator, good evening to you.",0.4939,"['right', 'business', 'want', 'get', 'start', 'evening', 'senator', 'elizabeth', 'warren', 'senator', 'good', 'evening']","['right/RB', 'so/RB', 'business/NN', 'want/VB', 'get/VB', 'start/VB', 'evening/NN', 'senator/NN', 'elizabeth/JJ', 'warren/NN', 'senator/NN', 'good/JJ', 'evening/NN']"
